videoname,axis,n_frame,n_landmark,coordinate
aprender_175,x,0,0,0.495805561542511
aprender_175,x,0,1,0.523831844329834
aprender_175,x,0,2,0.5437813401222229
aprender_175,x,0,3,0.561007559299469
aprender_175,x,0,4,0.4804821312427521
aprender_175,x,0,5,0.47003233432769775
aprender_175,x,0,6,0.4567277133464813
aprender_175,x,0,7,0.5946578979492188
aprender_175,x,0,8,0.45368632674217224
aprender_175,x,0,9,0.5295103192329407
aprender_175,x,0,10,0.47728267312049866
aprender_175,x,0,11,0.7057342529296875
aprender_175,x,0,12,0.338230162858963
aprender_175,x,0,13,0.8241062760353088
aprender_175,x,0,14,0.23672287166118622
aprender_175,x,0,15,0.6814573407173157
aprender_175,x,0,16,0.412843257188797
aprender_175,x,0,17,0.6362733244895935
aprender_175,x,0,18,0.4849505126476288
aprender_175,x,0,19,0.6136409640312195
aprender_175,x,0,20,0.49175170063972473
aprender_175,x,0,21,0.6252174973487854
aprender_175,x,0,22,0.4751904308795929
aprender_175,x,2,0,0.5139066576957703
aprender_175,x,2,1,0.538508951663971
aprender_175,x,2,2,0.5548127889633179
aprender_175,x,2,3,0.5689908266067505
aprender_175,x,2,4,0.49357324838638306
aprender_175,x,2,5,0.4788038432598114
aprender_175,x,2,6,0.46436887979507446
aprender_175,x,2,7,0.6037834286689758
aprender_175,x,2,8,0.45013171434402466
aprender_175,x,2,9,0.5485002398490906
aprender_175,x,2,10,0.491788387298584
aprender_175,x,2,11,0.7200078964233398
aprender_175,x,2,12,0.3445623815059662
aprender_175,x,2,13,0.840235710144043
aprender_175,x,2,14,0.23774422705173492
aprender_175,x,2,15,0.6939471960067749
aprender_175,x,2,16,0.40508225560188293
aprender_175,x,2,17,0.6539610624313354
aprender_175,x,2,18,0.4547981321811676
aprender_175,x,2,19,0.6309726238250732
aprender_175,x,2,20,0.4675063192844391
aprender_175,x,2,21,0.638177216053009
aprender_175,x,2,22,0.458286315202713
aprender_175,x,4,0,0.5127728581428528
aprender_175,x,4,1,0.5359905362129211
aprender_175,x,4,2,0.5534986257553101
aprender_175,x,4,3,0.5656431317329407
aprender_175,x,4,4,0.4892270267009735
aprender_175,x,4,5,0.47419995069503784
aprender_175,x,4,6,0.4579477906227112
aprender_175,x,4,7,0.5965802073478699
aprender_175,x,4,8,0.44441765546798706
aprender_175,x,4,9,0.5481091141700745
aprender_175,x,4,10,0.4864674508571625
aprender_175,x,4,11,0.7130576372146606
aprender_175,x,4,12,0.34161797165870667
aprender_175,x,4,13,0.8438815474510193
aprender_175,x,4,14,0.24370110034942627
aprender_175,x,4,15,0.6811593770980835
aprender_175,x,4,16,0.4298531413078308
aprender_175,x,4,17,0.6455373167991638
aprender_175,x,4,18,0.4871699810028076
aprender_175,x,4,19,0.6150941848754883
aprender_175,x,4,20,0.5011504292488098
aprender_175,x,4,21,0.6159714460372925
aprender_175,x,4,22,0.4886496365070343
aprender_175,x,6,0,0.5150339603424072
aprender_175,x,6,1,0.5375270247459412
aprender_175,x,6,2,0.5540310144424438
aprender_175,x,6,3,0.5646966695785522
aprender_175,x,6,4,0.4898673892021179
aprender_175,x,6,5,0.47433599829673767
aprender_175,x,6,6,0.4571566879749298
aprender_175,x,6,7,0.5899817943572998
aprender_175,x,6,8,0.4390198886394501
aprender_175,x,6,9,0.5466348528862
aprender_175,x,6,10,0.4850965440273285
aprender_175,x,6,11,0.7026375532150269
aprender_175,x,6,12,0.33685368299484253
aprender_175,x,6,13,0.8471333384513855
aprender_175,x,6,14,0.2524704933166504
aprender_175,x,6,15,0.6871299743652344
aprender_175,x,6,16,0.4449378252029419
aprender_175,x,6,17,0.6519203782081604
aprender_175,x,6,18,0.5167286992073059
aprender_175,x,6,19,0.6222505569458008
aprender_175,x,6,20,0.5117900967597961
