videoname,axis,n_frame,n_landmark,coordinate
ahora_243,x,0,0,0.4560718536376953
ahora_243,x,0,1,0.4800351560115814
ahora_243,x,0,2,0.49680808186531067
ahora_243,x,0,3,0.5102842450141907
ahora_243,x,0,4,0.43444713950157166
ahora_243,x,0,5,0.42051079869270325
ahora_243,x,0,6,0.4061196446418762
ahora_243,x,0,7,0.5441147685050964
ahora_243,x,0,8,0.39713266491889954
ahora_243,x,0,9,0.48978739976882935
ahora_243,x,0,10,0.4305310547351837
ahora_243,x,0,11,0.680381178855896
ahora_243,x,0,12,0.30868786573410034
ahora_243,x,0,13,0.7963621020317078
ahora_243,x,0,14,0.21874533593654633
ahora_243,x,0,15,0.6444806456565857
ahora_243,x,0,16,0.4016876816749573
ahora_243,x,0,17,0.6146778464317322
ahora_243,x,0,18,0.4513609707355499
ahora_243,x,0,19,0.598703145980835
ahora_243,x,0,20,0.46561041474342346
ahora_243,x,0,21,0.5989631414413452
ahora_243,x,0,22,0.4569172263145447
ahora_243,x,2,0,0.4642585813999176
ahora_243,x,2,1,0.48918941617012024
ahora_243,x,2,2,0.5065413117408752
ahora_243,x,2,3,0.5179791450500488
ahora_243,x,2,4,0.44174185395240784
ahora_243,x,2,5,0.42849308252334595
ahora_243,x,2,6,0.4130292236804962
ahora_243,x,2,7,0.551976203918457
ahora_243,x,2,8,0.4032665193080902
ahora_243,x,2,9,0.496983140707016
ahora_243,x,2,10,0.4372524917125702
ahora_243,x,2,11,0.6793191432952881
ahora_243,x,2,12,0.30808597803115845
ahora_243,x,2,13,0.7948092222213745
ahora_243,x,2,14,0.20609083771705627
ahora_243,x,2,15,0.6268014907836914
ahora_243,x,2,16,0.38955578207969666
ahora_243,x,2,17,0.5893645286560059
ahora_243,x,2,18,0.4416341185569763
ahora_243,x,2,19,0.5754450559616089
ahora_243,x,2,20,0.4579119384288788
ahora_243,x,2,21,0.5765995383262634
ahora_243,x,2,22,0.44519007205963135
ahora_243,x,4,0,0.47423261404037476
ahora_243,x,4,1,0.49830493330955505
ahora_243,x,4,2,0.514043927192688
ahora_243,x,4,3,0.5237106084823608
ahora_243,x,4,4,0.45013561844825745
ahora_243,x,4,5,0.4359511733055115
ahora_243,x,4,6,0.4204661548137665
ahora_243,x,4,7,0.5538291335105896
ahora_243,x,4,8,0.4049355387687683
ahora_243,x,4,9,0.5060698986053467
ahora_243,x,4,10,0.44478273391723633
ahora_243,x,4,11,0.6790246963500977
ahora_243,x,4,12,0.3038639426231384
ahora_243,x,4,13,0.7958216071128845
ahora_243,x,4,14,0.19573669135570526
ahora_243,x,4,15,0.6016770005226135
ahora_243,x,4,16,0.3918760120868683
ahora_243,x,4,17,0.536353349685669
ahora_243,x,4,18,0.4528658092021942
ahora_243,x,4,19,0.5142894983291626
ahora_243,x,4,20,0.4668637812137604
ahora_243,x,4,21,0.5281714200973511
ahora_243,x,4,22,0.45111721754074097
ahora_243,x,6,0,0.4807227849960327
ahora_243,x,6,1,0.5024613738059998
ahora_243,x,6,2,0.5169152617454529
ahora_243,x,6,3,0.5266519784927368
ahora_243,x,6,4,0.4546828866004944
ahora_243,x,6,5,0.43950942158699036
ahora_243,x,6,6,0.424241840839386
ahora_243,x,6,7,0.5548526644706726
ahora_243,x,6,8,0.40511175990104675
ahora_243,x,6,9,0.5121955871582031
ahora_243,x,6,10,0.4506889283657074
ahora_243,x,6,11,0.6779218912124634
ahora_243,x,6,12,0.3034159243106842
ahora_243,x,6,13,0.7971823811531067
ahora_243,x,6,14,0.18834719061851501
ahora_243,x,6,15,0.6072458624839783
ahora_243,x,6,16,0.3924703299999237
ahora_243,x,6,17,0.5525709986686707
ahora_243,x,6,18,0.4527149498462677
ahora_243,x,6,19,0.5325296521186829
ahora_243,x,6,20,0.4740900993347168
ahora_243,x,6,21,0.5425761938095093
ahora_243,x,6,22,0.45541447401046753
ahora_243,x,7,0,0.48283982276916504
ahora_243,x,7,1,0.5036574006080627
ahora_243,x,7,2,0.5176708102226257
ahora_243,x,7,3,0.5278671979904175
ahora_243,x,7,4,0.45542359352111816
ahora_243,x,7,5,0.43970799446105957
ahora_243,x,7,6,0.4243481755256653
ahora_243,x,7,7,0.5551014542579651
ahora_243,x,7,8,0.4050676226615906
ahora_243,x,7,9,0.5146159529685974
ahora_243,x,7,10,0.452079713344574
ahora_243,x,7,11,0.6771795153617859
ahora_243,x,7,12,0.3031979203224182
ahora_243,x,7,13,0.795555055141449
ahora_243,x,7,14,0.18754372000694275
ahora_243,x,7,15,0.6079081892967224
ahora_243,x,7,16,0.39148327708244324
ahora_243,x,7,17,0.5575624704360962
ahora_243,x,7,18,0.44743669033050537
ahora_243,x,7,19,0.5374776124954224
ahora_243,x,7,20,0.4609690308570862
ahora_243,x,7,21,0.5466933846473694
ahora_243,x,7,22,0.45241859555244446
ahora_243,x,8,0,0.48796403408050537
ahora_243,x,8,1,0.5057852864265442
ahora_243,x,8,2,0.5185877084732056
ahora_243,x,8,3,0.52870112657547
ahora_243,x,8,4,0.45917439460754395
ahora_243,x,8,5,0.44253820180892944
ahora_243,x,8,6,0.4271789789199829
ahora_243,x,8,7,0.5548965930938721
ahora_243,x,8,8,0.4049728512763977
ahora_243,x,8,9,0.5179041028022766
ahora_243,x,8,10,0.4572801887989044
ahora_243,x,8,11,0.6749588251113892
ahora_243,x,8,12,0.3024040460586548
ahora_243,x,8,13,0.7957907319068909
ahora_243,x,8,14,0.18631257116794586
ahora_243,x,8,15,0.6254504323005676
ahora_243,x,8,16,0.38077157735824585
ahora_243,x,8,17,0.5731823444366455
ahora_243,x,8,18,0.431527704000473
ahora_243,x,8,19,0.5590577125549316
ahora_243,x,8,20,0.44097256660461426
ahora_243,x,8,21,0.5627458691596985
ahora_243,x,8,22,0.4411393105983734
ahora_243,x,9,0,0.4959293305873871
ahora_243,x,9,1,0.5080749988555908
ahora_243,x,9,2,0.5196457505226135
ahora_243,x,9,3,0.5296329259872437
ahora_243,x,9,4,0.46372681856155396
ahora_243,x,9,5,0.44649118185043335
ahora_243,x,9,6,0.43078485131263733
ahora_243,x,9,7,0.5520370602607727
ahora_243,x,9,8,0.4048498272895813
ahora_243,x,9,9,0.5222422480583191
ahora_243,x,9,10,0.4646913707256317
ahora_243,x,9,11,0.6694090962409973
ahora_243,x,9,12,0.30030253529548645
ahora_243,x,9,13,0.7967482209205627
ahora_243,x,9,14,0.1865125149488449
ahora_243,x,9,15,0.6511570811271667
ahora_243,x,9,16,0.3619164228439331
ahora_243,x,9,17,0.6075059771537781
ahora_243,x,9,18,0.41628599166870117
ahora_243,x,9,19,0.6032987833023071
ahora_243,x,9,20,0.42526862025260925
ahora_243,x,9,21,0.6020092368125916
ahora_243,x,9,22,0.42247721552848816
ahora_243,x,10,0,0.5001012682914734
ahora_243,x,10,1,0.5081825256347656
ahora_243,x,10,2,0.5194181799888611
ahora_243,x,10,3,0.529531717300415
ahora_243,x,10,4,0.4676230549812317
ahora_243,x,10,5,0.4509367048740387
ahora_243,x,10,6,0.4354638159275055
ahora_243,x,10,7,0.5439757108688354
ahora_243,x,10,8,0.4046711325645447
ahora_243,x,10,9,0.5233319401741028
ahora_243,x,10,10,0.46975216269493103
ahora_243,x,10,11,0.6592158675193787
ahora_243,x,10,12,0.30022671818733215
ahora_243,x,10,13,0.7970776557922363
ahora_243,x,10,14,0.1867314875125885
ahora_243,x,10,15,0.673307478427887
ahora_243,x,10,16,0.34364208579063416
ahora_243,x,10,17,0.6488838195800781
ahora_243,x,10,18,0.38275259733200073
ahora_243,x,10,19,0.6438390612602234
ahora_243,x,10,20,0.3942977488040924
ahora_243,x,10,21,0.6376810669898987
ahora_243,x,10,22,0.3927338421344757
ahora_243,x,11,0,0.4998454451560974
ahora_243,x,11,1,0.5078871250152588
ahora_243,x,11,2,0.5188496112823486
ahora_243,x,11,3,0.5279566645622253
ahora_243,x,11,4,0.4677509069442749
ahora_243,x,11,5,0.45117107033729553
ahora_243,x,11,6,0.4357539713382721
ahora_243,x,11,7,0.5381829738616943
ahora_243,x,11,8,0.4044254720211029
ahora_243,x,11,9,0.5229460000991821
ahora_243,x,11,10,0.4699508547782898
ahora_243,x,11,11,0.6512818336486816
ahora_243,x,11,12,0.30012932419776917
ahora_243,x,11,13,0.7980486154556274
ahora_243,x,11,14,0.18687964975833893
ahora_243,x,11,15,0.6887498497962952
ahora_243,x,11,16,0.33722224831581116
ahora_243,x,11,17,0.6717661023139954
ahora_243,x,11,18,0.3667863607406616
ahora_243,x,11,19,0.6634765863418579
ahora_243,x,11,20,0.3730161786079407
ahora_243,x,11,21,0.6539123058319092
ahora_243,x,11,22,0.3751833438873291
ahora_243,x,12,0,0.49931958317756653
ahora_243,x,12,1,0.5076784491539001
ahora_243,x,12,2,0.5176472663879395
ahora_243,x,12,3,0.5257329940795898
ahora_243,x,12,4,0.46764102578163147
ahora_243,x,12,5,0.4511060118675232
ahora_243,x,12,6,0.43593892455101013
ahora_243,x,12,7,0.5334097146987915
ahora_243,x,12,8,0.40423667430877686
ahora_243,x,12,9,0.5227168798446655
ahora_243,x,12,10,0.46983057260513306
ahora_243,x,12,11,0.6497244834899902
ahora_243,x,12,12,0.30009570717811584
ahora_243,x,12,13,0.7990905046463013
ahora_243,x,12,14,0.18714098632335663
ahora_243,x,12,15,0.705198347568512
ahora_243,x,12,16,0.33258312940597534
ahora_243,x,12,17,0.6873871088027954
ahora_243,x,12,18,0.35894232988357544
ahora_243,x,12,19,0.6783449053764343
ahora_243,x,12,20,0.36338305473327637
ahora_243,x,12,21,0.6696885824203491
ahora_243,x,12,22,0.3671942949295044
ahora_243,x,13,0,0.49896860122680664
ahora_243,x,13,1,0.5076161026954651
ahora_243,x,13,2,0.5167742967605591
ahora_243,x,13,3,0.5242458581924438
ahora_243,x,13,4,0.4676429331302643
ahora_243,x,13,5,0.45106208324432373
ahora_243,x,13,6,0.43606722354888916
ahora_243,x,13,7,0.5310419201850891
ahora_243,x,13,8,0.40414750576019287
ahora_243,x,13,9,0.5225567817687988
ahora_243,x,13,10,0.4701503813266754
ahora_243,x,13,11,0.6487694382667542
ahora_243,x,13,12,0.3010353744029999
ahora_243,x,13,13,0.801750898361206
ahora_243,x,13,14,0.18723443150520325
ahora_243,x,13,15,0.7175166010856628
ahora_243,x,13,16,0.3264431059360504
ahora_243,x,13,17,0.6999019980430603
ahora_243,x,13,18,0.3527223467826843
ahora_243,x,13,19,0.6909629106521606
ahora_243,x,13,20,0.35773366689682007
ahora_243,x,13,21,0.6844372749328613
ahora_243,x,13,22,0.36137259006500244
ahora_243,x,14,0,0.49944794178009033
ahora_243,x,14,1,0.5074231624603271
ahora_243,x,14,2,0.5159994959831238
ahora_243,x,14,3,0.5228593945503235
ahora_243,x,14,4,0.4688328504562378
ahora_243,x,14,5,0.45267996191978455
ahora_243,x,14,6,0.43761545419692993
ahora_243,x,14,7,0.5272756218910217
ahora_243,x,14,8,0.4041801691055298
ahora_243,x,14,9,0.5224359631538391
ahora_243,x,14,10,0.47214430570602417
ahora_243,x,14,11,0.6447041630744934
ahora_243,x,14,12,0.30101996660232544
ahora_243,x,14,13,0.8067787289619446
ahora_243,x,14,14,0.18729688227176666
ahora_243,x,14,15,0.7299377918243408
ahora_243,x,14,16,0.3231140077114105
ahora_243,x,14,17,0.7139617204666138
ahora_243,x,14,18,0.34588688611984253
ahora_243,x,14,19,0.7039192914962769
ahora_243,x,14,20,0.3479548394680023
ahora_243,x,14,21,0.6975511908531189
ahora_243,x,14,22,0.3543007969856262
ahora_243,x,15,0,0.49948030710220337
ahora_243,x,15,1,0.5073391795158386
ahora_243,x,15,2,0.5151839256286621
ahora_243,x,15,3,0.5216185450553894
ahora_243,x,15,4,0.4692377746105194
ahora_243,x,15,5,0.4532844126224518
ahora_243,x,15,6,0.43821319937705994
ahora_243,x,15,7,0.524771511554718
ahora_243,x,15,8,0.40410441160202026
ahora_243,x,15,9,0.52215975522995
ahora_243,x,15,10,0.4723866581916809
ahora_243,x,15,11,0.6409030556678772
ahora_243,x,15,12,0.3000667691230774
ahora_243,x,15,13,0.8111605644226074
ahora_243,x,15,14,0.18805404007434845
ahora_243,x,15,15,0.7327250838279724
ahora_243,x,15,16,0.3251156508922577
ahora_243,x,15,17,0.7151973247528076
ahora_243,x,15,18,0.3509353697299957
ahora_243,x,15,19,0.7047386169433594
ahora_243,x,15,20,0.3532659113407135
ahora_243,x,15,21,0.6981387734413147
ahora_243,x,15,22,0.35741230845451355
ahora_243,x,16,0,0.49936723709106445
ahora_243,x,16,1,0.5067927241325378
ahora_243,x,16,2,0.5137170553207397
ahora_243,x,16,3,0.5197261571884155
ahora_243,x,16,4,0.4691486656665802
ahora_243,x,16,5,0.4533095061779022
ahora_243,x,16,6,0.43835726380348206
ahora_243,x,16,7,0.5220247507095337
ahora_243,x,16,8,0.40304651856422424
ahora_243,x,16,9,0.5220998525619507
ahora_243,x,16,10,0.47307074069976807
ahora_243,x,16,11,0.637649416923523
ahora_243,x,16,12,0.2977789342403412
ahora_243,x,16,13,0.8119722008705139
ahora_243,x,16,14,0.1882035881280899
ahora_243,x,16,15,0.7299497723579407
ahora_243,x,16,16,0.3265967071056366
ahora_243,x,16,17,0.7134974598884583
ahora_243,x,16,18,0.35694631934165955
ahora_243,x,16,19,0.7025168538093567
ahora_243,x,16,20,0.353859007358551
ahora_243,x,16,21,0.6940797567367554
ahora_243,x,16,22,0.3604319095611572
ahora_243,x,18,0,0.5007867217063904
ahora_243,x,18,1,0.5061488747596741
ahora_243,x,18,2,0.5123491883277893
ahora_243,x,18,3,0.5189464688301086
ahora_243,x,18,4,0.46962952613830566
ahora_243,x,18,5,0.45375972986221313
ahora_243,x,18,6,0.4386507570743561
ahora_243,x,18,7,0.5177280902862549
ahora_243,x,18,8,0.39703524112701416
ahora_243,x,18,9,0.5219432711601257
ahora_243,x,18,10,0.4781920909881592
ahora_243,x,18,11,0.6364962458610535
ahora_243,x,18,12,0.2752818763256073
ahora_243,x,18,13,0.7998204827308655
ahora_243,x,18,14,0.1898515671491623
ahora_243,x,18,15,0.7279328107833862
ahora_243,x,18,16,0.32948818802833557
ahora_243,x,18,17,0.7225070595741272
ahora_243,x,18,18,0.38250866532325745
ahora_243,x,18,19,0.7153217196464539
ahora_243,x,18,20,0.3892863988876343
ahora_243,x,18,21,0.7029224634170532
ahora_243,x,18,22,0.3830879330635071
ahora_243,y,0,0,0.20081742107868195
ahora_243,y,0,1,0.1600085198879242
ahora_243,y,0,2,0.1589965969324112
ahora_243,y,0,3,0.15847091376781464
ahora_243,y,0,4,0.16374199092388153
ahora_243,y,0,5,0.16431425511837006
ahora_243,y,0,6,0.16501468420028687
ahora_243,y,0,7,0.1760551929473877
ahora_243,y,0,8,0.185782790184021
ahora_243,y,0,9,0.23840758204460144
ahora_243,y,0,10,0.24211174249649048
ahora_243,y,0,11,0.3867911398410797
ahora_243,y,0,12,0.38049089908599854
ahora_243,y,0,13,0.6721361875534058
ahora_243,y,0,14,0.6810222268104553
ahora_243,y,0,15,0.47464969754219055
ahora_243,y,0,16,0.6388080716133118
ahora_243,y,0,17,0.42847490310668945
ahora_243,y,0,18,0.6504082679748535
ahora_243,y,0,19,0.3975931704044342
ahora_243,y,0,20,0.6167630553245544
ahora_243,y,0,21,0.41237491369247437
ahora_243,y,0,22,0.6060927510261536
ahora_243,y,2,0,0.20865722000598907
ahora_243,y,2,1,0.1674235314130783
ahora_243,y,2,2,0.16633744537830353
ahora_243,y,2,3,0.16599783301353455
ahora_243,y,2,4,0.1697220504283905
ahora_243,y,2,5,0.16943717002868652
ahora_243,y,2,6,0.16979871690273285
ahora_243,y,2,7,0.18225842714309692
ahora_243,y,2,8,0.18901664018630981
ahora_243,y,2,9,0.24815233051776886
ahora_243,y,2,10,0.2497907280921936
ahora_243,y,2,11,0.38698023557662964
ahora_243,y,2,12,0.3827292323112488
ahora_243,y,2,13,0.6738814115524292
ahora_243,y,2,14,0.6808950901031494
ahora_243,y,2,15,0.5483139157295227
ahora_243,y,2,16,0.6633386015892029
ahora_243,y,2,17,0.5213742256164551
ahora_243,y,2,18,0.6671804785728455
ahora_243,y,2,19,0.48371371626853943
ahora_243,y,2,20,0.637820839881897
ahora_243,y,2,21,0.49312394857406616
ahora_243,y,2,22,0.6302080750465393
ahora_243,y,4,0,0.2066027671098709
ahora_243,y,4,1,0.16659857332706451
ahora_243,y,4,2,0.16550582647323608
ahora_243,y,4,3,0.1653096228837967
ahora_243,y,4,4,0.16904248297214508
ahora_243,y,4,5,0.16826573014259338
ahora_243,y,4,6,0.16828948259353638
ahora_243,y,4,7,0.18302014470100403
ahora_243,y,4,8,0.18859609961509705
ahora_243,y,4,9,0.24579893052577972
ahora_243,y,4,10,0.2473728358745575
ahora_243,y,4,11,0.38772082328796387
ahora_243,y,4,12,0.385786771774292
ahora_243,y,4,13,0.6730697154998779
ahora_243,y,4,14,0.6837947964668274
ahora_243,y,4,15,0.6130537986755371
ahora_243,y,4,16,0.6337562799453735
ahora_243,y,4,17,0.6182212233543396
ahora_243,y,4,18,0.6319044828414917
